locus_tag,gene_name,accession,start,end,strand,gene_product,COG,regulator,uniprot,kegg_maps,EC_number,aerobic_essential,anaerobic_essential,interpro_annotation,anaero_xylose_model_flux,anaero_glucose_model_flux,aero_xylose_model_flux,aero_glucose_model_flux,anaero_xylose_model_growth_perc_change,anaero_glucose_model_growth_perc_change,aero_xylose_model_growth_perc_change,aero_glucose_model_growth_perc_change,FIMO_regulators,LDI_early_glucose_fold_change,LDI_late_glucose_fold_change,LDI_early_xylose_fold_change,LDI_late_xylose_fold_change,no_LDI_early_glucose_fold_change,no_LDI_late_glucose_fold_change,no_LDI_early_xylose_fold_change,no_LDI_late_xylose_fold_change
ZMO1_ZMO1141,ZMO1_ZMO1141,CP023715.1,1160476.0,1161495.0,+,ketol-acid reductoisomerase,Amino acid transport and metabolism,[],Q9X5F8,map00290;map00770;map01100;map01110;map01130;map01210;map01230,1.1.1.86,-2.07553360563617,-1.67025864435062,SignalP-TM,,,,,0.0,0.0,0.0,0.0,[],1.0,0.9961409700777509,0.9831910146092773,0.9746790109374371,1.0,1.0922621316365704,1.1829710647817235,1.133711996386677
ZMO1_ZMO1142,ZMO1_ZMO1142,CP023715.1,1162209.0,1163165.0,-,thioredoxin reductase,Energy production and conversion,[],H2VFN3,map00450,1.8.1.9,-1.24447630830315,-2.83853029998942,SignalP-TM;SignalP-noTM,,,,,0.99999999999997,1.0000000000003415,0.9999999999999926,0.9999999999999819,[],1.0,1.0610657785387199,1.038497315015963,1.1727963726138741,1.0,0.9144684775971613,0.8251268373208072,1.0146643513807743
ZMO1_ZMO1143,ZMO1_ZMO1143,CP023715.1,1163477.0,1164130.0,-,chloramphenicol acetyltransferase,Defense mechanisms,"['ZMO0373', 'ZMO0940', 'ZMO1126', 'ZMO1857']",H2VFP0,,2.3.1.28,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8452805120133018,0.7399286886583101,0.8615952884837675,1.0,1.011968556280537,1.0828870649457145,1.0950970634685118
ZMO1_ZMO1144,ZMO1_ZMO1144,CP023715.1,1164206.0,1164559.0,-,teicoplanin resistance protein VanZ,No COG annotation,"['ZMO0373', 'ZMO0940', 'ZMO1061', 'ZMO1697', 'ZMO1787', 'ZMO1793']",Q5NNE2,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],,,,,,,,
ZMO1_ZMO1145,ZMO1_ZMO1145,CP023715.1,1164619.0,1164846.0,-,ribosomal protein L31,"Translation, ribosomal structure and biogenesis",[],Q5NNE1,map03010,,-1.65075885839296,-1.04093051776453,SignalP-TM,,,,,,,,,[],1.0,0.8241453842304467,0.7620542919633335,0.8776193257202571,1.0,0.9271520310615683,0.8810037421771303,1.0587602195982024
ZMO1_ZMO1146,ZMO1_ZMO1146,CP023715.1,1164975.0,1165451.0,-,beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ,Lipid transport and metabolism,[],Q9X5F5,map00061;map00780;map01100;map01212,4.2.1.59,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,0.0,0.0,0.0,0.0,[],1.0,1.0385937435870982,0.9498480392921381,0.8536175207287223,1.0,1.0339343884170444,0.9328257925167057,0.8167294700354462
ZMO1_ZMO1147,ZMO1_ZMO1147,CP023715.1,1165458.0,1166129.0,-,chaperone protein Skp (OmpH),Cell wall/membrane/envelope biogenesis,"['ZMO0199', 'ZMO0373']",Q5NND9,,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.405744895852652,1.2344230905235216,0.6243635263392568,1.0,1.3590451263437413,1.112774397853826,0.7212694750099751
ZMO1_ZMO1148,ZMO1_ZMO1148,CP023715.1,1166129.0,1169356.0,-,YaeT-like component of outer membrane protein assembly complex,Cell wall/membrane/envelope biogenesis,"['ZMO0199', 'ZMO1206']",Q5NND8,,,-1.71625078860132,-2.0197275115966,SignalP-TM,,,,,,,,,['CosR_Campylobacter_jejuni'],1.0,0.6235023274307807,0.5626933007553678,0.47758041192378053,1.0,0.5745797436097567,0.5272612967999275,0.49496858967560486
ZMO1_ZMO1149,ZMO1_ZMO1149,CP023715.1,1169485.0,1170615.0,-,membrane-associated Zn-dependent metalloprotease,Cell wall/membrane/envelope biogenesis,['ZMO1206'],Q5NND7,map02024;map04112,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.6396731872836577,0.6979182070605566,0.7920150299013546,1.0,0.6984227086858394,0.7314279332914542,0.7980597986396373
ZMO1_ZMO1150,ZMO1_ZMO1150,CP023715.1,1170612.0,1171778.0,-,1-deoxy-D-xylulose 5-phosphate reductoisomerase,Lipid transport and metabolism,[],Q9X5F2,map00900;map01100;map01110;map01130,1.1.1.267,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,4.3554891535401316e-16,3.2621729577662675e-15,2.4321360444213433e-15,2.2333765407304776e-15,"['Cap37_Clostridium_acetobutylicum', 'MogR_Listeria_monocytogenes']",1.0,0.8919488888346998,0.7698930660310486,0.6922421278252657,1.0,0.8653761319630371,0.7318963773165723,0.7091011673438847
ZMO1_ZMO1151,ZMO1_ZMO1151,CP023715.1,1171778.0,1172407.0,-,phosphatidate cytidylyltransferase,Lipid transport and metabolism,[],Q5NND5,map00564;map01100;map01110;map04070,2.7.7.41,0.0,0.0,SignalP-TM,,,,,0.0,0.0,0.0,0.0,[],1.0,0.7044934809737693,0.7742415529741055,0.8284171697035139,1.0,0.7419372361504267,0.6691266458106341,0.6769814879719211
ZMO1_ZMO1152,ZMO1_ZMO1152,CP023715.1,1172404.0,1173150.0,-,undecaprenyl pyrophosphate synthase UppS,Lipid transport and metabolism,[],Q9X5F1,map00900;map01110,2.5.1.31,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,1.0000000000000222,0.999999999999848,0.9999999999999671,0.9999999999999939,[],1.0,0.8151949514832008,0.6718650741651543,0.6268067743094788,1.0,0.8043826420097434,0.6792902102469576,0.6213155674166059
ZMO1_ZMO1153,ZMO1_ZMO1153,CP023715.1,1173147.0,1173704.0,-,ribosome recycling factor,"Translation, ribosomal structure and biogenesis",[],Q9X5F0,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.751277465324597,0.6794815995303481,0.6534462993552275,1.0,0.6266515189683962,0.5780282016193838,0.5264590267599718
ZMO1_ZMO1154,ZMO1_ZMO1154,CP023715.1,1173704.0,1174432.0,-,uridylate kinase,Nucleotide transport and metabolism,[],Q9X5E9,map00240;map01100,2.7.4.22,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,8.201743896020166e-16,8.949784602661604e-15,7.230721126544217e-16,7.178710309490821e-16,[],1.0,0.9193437225677091,0.9126827592456556,0.9762660829742474,1.0,0.7831835828450708,0.7352653909622783,0.9101112787471349
ZMO1_ZMO1155,ZMO1_ZMO1155,CP023715.1,1174569.0,1175492.0,-,translation elongation factor Ts,"Translation, ribosomal structure and biogenesis",[],Q9X5E8,,,0.0,0.0,SignalP-TM,,,,,,,,,['NodD_Rhizobium_leguminosarum'],1.0,0.8104051180853515,0.7680787593256639,0.9010678072745282,1.0,0.8944021412753753,0.8952203300122857,1.0155123256936318
ZMO1_ZMO1156,ZMO1_ZMO1156,CP023715.1,1175600.0,1176352.0,-,ribosomal protein S2,"Translation, ribosomal structure and biogenesis",[],Q9X5E7,map03010,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.7886987397416214,0.7809007873073582,0.8349400373423735,1.0,0.8132118749395992,0.8416116686420596,0.9374996205524101
ZMO1_ZMO2060,ZMO1_ZMO2060,CP023715.1,1176607.0,1176954.0,+,hypothetical protein,No COG annotation,"['ZMO0199', 'ZMO0940', 'ZMO1336', 'ZMO1412']",,,,0.0,0.0,SignalP-TM,,,,,,,,,['NodD_Rhizobium_leguminosarum'],,,,,,,,
ZMO1_ZMO1158,ZMO1_ZMO1158,CP023715.1,1176995.0,1177693.0,+,aspartate racemase,Cell wall/membrane/envelope biogenesis,[],Q5NNC8,map00250;map01054,5.1.1.13,0.0,0.0,SignalP-TM,,,,,0.9999999999999825,0.9999999999999996,0.9999999999999792,1.0000000000000009,"['NikR_Helicobacter_pylori', 'NodD_Rhizobium_leguminosarum']",1.0,1.486788279135883,1.7554172376589186,1.678563920107416,1.0,1.4861432391884914,1.6571853312227027,1.5869752682406417
ZMO1_ZMO1159,ZMO1_ZMO1159,CP023715.1,1177848.0,1178648.0,-,CDP-diacylglycerol--serine O-phosphatidyltransferase,Lipid transport and metabolism,[],Q5NNC7,map00260;map00564;map01100;map01110,2.7.8.8,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999901,0.9999999999999998,0.9999999999999836,1.0000000000000098,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.8134156492733196,0.5072952427909581,0.780400258892842,1.0,0.7284864951254854,0.5380187683037817,0.7097991734750844
ZMO1_ZMO1160,ZMO1_ZMO1160,CP023715.1,1178645.0,1179385.0,-,phosphatidylserine decarboxylase,Lipid transport and metabolism,[],Q9X5E3,map00564;map01100;map01110,4.1.1.65,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999806,0.9999999999999714,0.9999999999999817,0.9999999999999892,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.8505094577489964,0.8782781572401566,0.9905913473821533,1.0,0.8815224332299939,0.9224344236585764,1.0033164940813364
ZMO1_ZMO1162,ZMO1_ZMO1162,CP023715.1,1179589.0,1180854.0,+,histidine kinase,Signal transduction mechanisms,"['ZMO0940', 'ZMO1206']",Q5NNC4,map02020,2.7.13.3,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.9301137712022105,0.9264806313479959,1.117928902615545,1.0,0.8896371078405221,1.0250190296952324,1.129901130587612
ZMO1_ZMO1163,ZMO1_ZMO1163,CP023715.1,1181061.0,1181774.0,+,phosphate uptake regulator PhoU,Inorganic ion transport and metabolism,[],Q9X5E1,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.008729473751243,0.9427526038752148,0.9372254460408638,1.0,1.1204655408165083,1.0472666813209228,1.065235249925943
ZMO1_ZMO1164,ZMO1_ZMO1164,CP023715.1,1181774.0,1182469.0,+,transcriptional regulator PhoB,Signal transduction mechanisms,[],H2VFP2,map02020,,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.0044171106236375,0.9427715178571556,0.9761183727333175,1.0,1.0156328246987045,1.101503480665782,1.2281603672788122
ZMO1_ZMO1165,ZMO1_ZMO1165,CP023715.1,1182555.0,1183400.0,-,amidophosphoribosyltransferase,Function unknown,[],Q5NNC1,,,-1.30507853313842,-1.58241895452559,SignalP-TM;SignalP-noTM,,,,,,,,,[],,,,,,,,
ZMO1_ZMO1166,ZMO1_ZMO1166,CP023715.1,1183478.0,1184542.0,-,DNA recombination/repair protein RecA,"Replication, recombination and repair",[],Q9X5D8,map03440,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9961980712091327,0.9494892993461826,1.1602367743175435,1.0,0.9735848310660652,1.021282830763503,1.1294040050553695
ZMO1_ZMO1167,ZMO1_ZMO1167,CP023715.1,1184760.0,1186715.0,-,putative CocE/NonD family hydrolase,Function unknown,[],Q5NNB9,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['CosR_Campylobacter_jejuni'],1.0,0.836526259330384,0.8154095759338801,0.6675321654788251,1.0,0.8014657570124759,0.7131626577183896,0.5740142740299982
ZMO1_ZMO1169,ZMO1_ZMO1169,CP023715.1,1186915.0,1187775.0,+,BadF/BadG/BcrA/BcrD type ATPase,Carbohydrate transport and metabolism,[],Q5NNB7,map00520;map01100,2.7.1.8,0.0,0.0,,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8416997071453212,0.8534945213578522,1.0539316650565431,1.0,0.854379203707614,0.8900082890587707,0.9520403025208645
ZMO1_ZMO1170,ZMO1_ZMO1170,CP023715.1,1187828.0,1188130.0,+,antibiotic biosynthesis monooxygenase,Function unknown,['ZMO1787'],Q5NNB6,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,['CosR_Campylobacter_jejuni'],1.0,1.5053258513203507,1.6514562748255455,1.7403856269760756,1.0,1.805024340049177,1.8551577009974944,2.137249091974282
ZMO1_ZMO1171,ZMO1_ZMO1171,CP023715.1,1188127.0,1189161.0,-,beta-N-acetylhexosaminidase,Carbohydrate transport and metabolism,"['ZMO0940', 'ZMO1206', 'ZMO1787']",H2VFN5,map00520;map00531;map01100;map01501,3.2.1.52,0.0,0.0,SignalP-TM,,,,,0.9999999999999876,1.0000000000000764,0.9999999999999778,0.9999999999999969,[],1.0,1.0670432383590316,1.0654695879007694,1.2452258382406094,1.0,1.2165479739475447,1.262354093440379,1.581370601403219
ZMO1_ZMO1172,ZMO1_ZMO1172,CP023715.1,1189287.0,1190561.0,+,succinylarginine dihydrolase,Amino acid transport and metabolism,[],Q5NNB4,map00330;map01100,3.5.3.23,0.0,0.0,SignalP-TM,,,,,0.9999999999999829,1.0000000000000242,0.9999999999999598,0.999999999999999,[],1.0,1.1800833009982017,1.191691272022094,1.1685921843026876,1.0,1.3010930355913102,1.2021622134527725,1.1501293242046302
ZMO1_ZMO1173,ZMO1_ZMO1173,CP023715.1,1190558.0,1194727.0,-,DUF490 domain-containing protein,Function unknown,"['ZMO0373', 'ZMO0774', 'ZMO0940', 'ZMO1336']",Q5NNB3,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,0.8469420418508876,0.8488761730675172,1.0074685008428663,1.0,0.8895626518549853,0.9527405459074062,1.0566956913534638
ZMO1_ZMO1174,ZMO1_ZMO1174,CP023715.1,1194727.0,1196943.0,-,surface antigen (D15),Cell wall/membrane/envelope biogenesis,"['ZMO0373', 'ZMO0940', 'ZMO1787']",Q5NNB2,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.6117467895214688,0.5636963345211592,0.5860716144642962,1.0,0.612689138146112,0.5905167634034313,0.5237723552936298
ZMO1_ZMO1176,ZMO1_ZMO1176,CP023715.1,1196943.0,1198361.0,-,histidine kinase,Signal transduction mechanisms,['ZMO0774'],Q5NNB0,,,0.0,0.0,SignalP-TM,,,,,,,,,['MogR_Listeria_monocytogenes'],1.0,0.7290664354318711,0.7351502169256461,1.0198190203293063,1.0,0.9331389505843145,0.8295630261312512,1.1345221959729666
ZMO1_ZMO1177,ZMO1_ZMO1177,CP023715.1,1198358.0,1199083.0,-,winged helix family two component transcriptional regulator,Transcription,"['ZMO1336', 'ZMO1787']",H2VFM2,,,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8919401237418134,0.8682567564402818,0.8061389363068956,1.0,0.8718414811956805,0.8563370464580199,0.8571739741377628
ZMO1_ZMO1178,ZMO1_ZMO1178,CP023715.1,1199111.0,1199485.0,-,phosphoribosyl-AMP cyclohydrolase,Amino acid transport and metabolism,[],Q9X3W1,map00340;map01100;map01110;map01230,3.5.4.19,-1.25386016732715,-2.12927129279216,SignalP-TM;SignalP-noTM,,,,,0.0,2.989519817809933e-30,2.50450834675748e-15,1.8630981348137252e-16,['NikR_Helicobacter_pylori'],1.0,1.0823034638420252,0.972944242702788,0.8011209344272405,1.0,1.2078514057776335,1.0570517456275914,0.9348428747793248
ZMO1_ZMO1179,ZMO1_ZMO1179,CP023715.1,1199540.0,1200733.0,-,(uracil-5)-methyltransferase,"Translation, ribosomal structure and biogenesis",[],,,2.1.1.190,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,0.7885063957434453,0.6987962231337748,0.7805425051111776,1.0,0.7774155715518236,0.7665243988285776,0.9006728618391645
ZMO1_ZMO1180,ZMO1_ZMO1180,CP023715.1,1200730.0,1202184.0,-,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,Carbohydrate transport and metabolism,"['ZMO0199', 'ZMO1336', 'ZMO1697']",H2VFN9,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.9477691936726663,0.9519152355203658,0.9500679863586304,1.0,0.9306153907230261,0.9953728966776823,0.9851638090515041
ZMO1_ZMO1181,ZMO1_ZMO1181,CP023715.1,1202543.0,1203280.0,-,N-formylglutamate amidohydrolase,Amino acid transport and metabolism,[],Q5NNA5,map00340;map00630,3.5.1.68,0.0,0.0,SignalP-TM,,,,,0.9999999999999604,0.999999999999896,0.999999999999972,0.9999999999999913,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.0193488998418996,0.964817972594891,0.9969364078257424,1.0,0.8788920732510852,0.8821021664790781,0.7558193856602972
ZMO1_ZMO1182,ZMO1_ZMO1182,CP023715.1,1203441.0,1204289.0,-,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,Lipid transport and metabolism,[],Q9X3W5,map00900;map01100;map01110;map01130,2.7.1.148,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,3.0756539610075622e-15,7.041155139860043e-15,2.0514275661674502e-16,1.8882244470730138e-16,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori', 'RofA_Streptococcus_pyogenes', 'XylR_Thermotoga_maritima']",1.0,0.9702377719539143,0.9239457104240445,0.9020106027250252,1.0,1.0042610580480933,0.9113360870803714,0.987432878665045
ZMO1_ZMO1183,ZMO1_ZMO1183,CP023715.1,1204584.0,1206227.0,-,TPR repeat-containing protein,Function unknown,[],H2VFQ4,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.9083805437780372,0.9687963395621716,0.978976626682909,1.0,0.9388957970486183,1.0141419283432787,1.032590513150117
ZMO1_ZMO1184,ZMO1_ZMO1184,CP023715.1,1206345.0,1207991.0,-,electron-transferring-flavoprotein dehydrogenase,Energy production and conversion,[],Q5NNA2,,1.5.5.1,-2.90099889992705,0.0,SignalP-TM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.0613845368543506,1.1023685838343116,1.0342484878812577,1.0,1.0194186621826815,1.0651212911217416,1.1511686115508488
ZMO1_ZMO1185,ZMO1_ZMO1185,CP023715.1,1208295.0,1209089.0,+,uracil-DNA glycosylase superfamily protein,"Replication, recombination and repair","['ZMO0940', 'ZMO1121', 'ZMO1121', 'ZMO1206', 'ZMO1336', 'ZMO1412', 'ZMO1412']",Q5NNA1,map03410,3.2.2.27,0.0,0.0,SignalP-TM,,,,,,,,,['NikR_Helicobacter_pylori'],1.0,0.8087105514666597,0.7705302225515935,0.8597217886823706,1.0,0.9980256336929806,0.9546659606935408,1.1340240005089393
ZMO1_ZMO1186,ZMO1_ZMO1186,CP023715.1,1209064.0,1211004.0,+,lytic transglycosylase,Cell wall/membrane/envelope biogenesis,[],Q5NNA0,,,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM;Thaumatin family profile.",,,,,,,,,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,0.693686334483043,0.2776672223558864,0.31623517103496274,1.0,0.6463929690737473,0.4762755528508775,0.544816876889666
ZMO1_ZMO1187,ZMO1_ZMO1187,CP023715.1,1211016.0,1211828.0,-,formamidopyrimidine-DNA glycosylase,"Replication, recombination and repair",[],Q9X3X1,map03410,"3.2.2.23,4.2.99.18",0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,,,,,[],1.0,1.0352480708917353,1.0632828138203598,1.3616430839152542,1.0,1.1319946956417122,1.1926348313469965,1.4273645338568917
ZMO1_ZMO1188,ZMO1_ZMO1188,CP023715.1,1212138.0,1212866.0,+,ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,Coenzyme transport and metabolism,[],Q9X3X2,map00130;map01100;map01110,"2.1.1.163,2.1.1.201",0.0,0.0,SignalP-TM,,,,,0.9999999999999711,1.0000000000000397,0.9999999999999759,1.000000000000011,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,1.03890096177456,0.9858274407639834,1.1450880891901243,1.0,1.013316112989541,1.0722148139204424,1.1874185380865123
ZMO1_ZMO1189,ZMO1_ZMO1189,CP023715.1,1212870.0,1214408.0,+,2-octaprenylphenol hydroxylase UbiB,Function unknown,[],H2VFS0,,,0.0,0.0,SignalP-TM,,,,,0.9999999999999885,0.99999999999996,0.9999999999999785,0.999999999999999,[],1.0,0.9458991436696988,0.9228145530162333,1.05247538950486,1.0,0.9499109758011755,1.0364348307467384,1.1071119816757569
ZMO1_ZMO1190,ZMO1_ZMO1190,CP023715.1,1214435.0,1215688.0,+,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase,Coenzyme transport and metabolism,[],Q5NN96,map00770;map01100,"4.1.1.36,6.3.2.5",0.0,0.0,Insulin-like growth factor-binding protein (IGFBP) N-terminal domain signature.;SignalP-TM,,,,,2.9356777029961616e-17,2.4545332218942517e-15,6.34006018029869e-16,1.8925117987261706e-30,[],1.0,1.083180933673005,1.0620697271856123,1.1551487928226305,1.0,1.0831374528028053,1.1308505792708914,1.2925678341696516
ZMO1_ZMO1191,ZMO1_ZMO1191,CP023715.1,1215720.0,1216160.0,+,deoxyuridine 5'-triphosphate nucleotidohydrolase Dut,Nucleotide transport and metabolism,[],Q9X3X5,map00240;map00983;map01100,3.6.1.23,0.0,0.0,"C-terminal region of a signal peptide.;Hydrophobic region of a signal peptide.;N-terminal region of a signal peptide.;Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.;Signal peptide region;SignalP-TM;SignalP-noTM",,,,,0.9995814415309946,0.9995894649924768,0.9995909042235488,0.9996001098717491,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes']",1.0,1.225123058980723,1.1728538384040517,0.9454876612922065,1.0,0.8713266670491538,0.7156242665617802,0.6159325824907942
ZMO1_ZMO1192,ZMO1_ZMO1192,CP023715.1,1216157.0,1216915.0,+,ThiF/MoeB/HesA/family domain-containing protein,Coenzyme transport and metabolism,[],Q5NN94,map04122,2.7.7.80,-1.34339236518081,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,"['CosR_Campylobacter_jejuni', 'NikR_Helicobacter_pylori']",1.0,0.9319059357875641,0.8965925936603711,1.011163945290856,1.0,0.8769780739086696,0.9075339948168714,1.0867667883127834
ZMO1_ZMO1193,ZMO1_ZMO1193,CP023715.1,1217324.0,1220962.0,-,DNA topoisomerase I,"Replication, recombination and repair",[],Q9X3X7,,5.99.1.2,0.0,0.0,SignalP-TM,,,,,,,,,[],1.0,1.0676031764145668,1.1292209155619746,1.1307520883156637,1.0,0.9987654020020437,1.0103207147726854,1.04186677207455
ZMO1_ZMO1194,ZMO1_ZMO1194,CP023715.1,1221114.0,1222271.0,-,DNA protecting protein DprA,"Replication, recombination and repair",[],Q5NN92,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,0.8697967395042079,0.7677272596839313,0.8486691628916642,1.0,0.789733842793416,0.7695339958544709,0.9297633111928848
ZMO1_ZMO1195,ZMO1_ZMO1195,CP023715.1,1222321.0,1222959.0,-,glycerol-3-phosphate acyltransferase PlsY,Lipid transport and metabolism,[],Q5NN91,map00561;map00564;map01100;map01110,2.3.1.15,0.0,-2.38793683487965,SignalP-TM,,,,,9.614323748195628e-16,5.074491267636419e-15,3.5270822490570076e-15,6.381075830658508e-16,[],1.0,0.3767523736280588,0.30750186825107234,0.32369647949863894,1.0,0.3613502535139961,0.24441114810786652,0.32009859585232237
ZMO1_ZMO1196,ZMO1_ZMO1196,CP023715.1,1223253.0,1224665.0,+,major facilitator superfamily transporter,Amino acid transport and metabolism,"['ZMO0940', 'ZMO1787']",Q5NN90,,,0.0,0.0,SignalP-TM;SignalP-noTM,,,,,,,,,[],1.0,1.1948320218751847,1.706959877032975,0.9628594756174489,1.0,1.7612695407764483,2.162748439522007,0.8659706258167527
ZMO1_ZMO1197,ZMO1_ZMO1197,CP023715.1,1224690.0,1225520.0,+,glutamate racemase,Cell wall/membrane/envelope biogenesis,[],Q5NN89,map00471;map01100,5.1.1.3,0.0,0.0,SignalP-TM,,,,,0.9999999999999705,0.9999999999999674,0.9999999999999659,0.9999999999999515,['MogR_Listeria_monocytogenes'],1.0,1.0998930865501404,1.1135188642047835,1.3046454835794483,1.0,1.0164657625269562,1.024812746997696,1.2222363485597474
ZMO1_ZMO1198,ZMO1_ZMO1198,CP023715.1,1225656.0,1226870.0,+,5-aminolevulinic acid synthase,Amino acid transport and metabolism,[],Q5NN88,map00260;map00860;map01100;map01110,2.3.1.37,-1.91566921388909,0.0,SignalP-TM;SignalP-noTM,,,,,0.9999999999999876,1.0000000000000764,0.9999999999999758,0.9999999999999908,['MogR_Listeria_monocytogenes'],1.0,0.9220255028758216,0.8208315090392884,0.9038584736539984,1.0,1.3098013144683802,1.2582737835609743,1.4856997051628624
ZMO1_ZMO1200,ZMO1_ZMO1200,CP023715.1,1227089.0,1227562.0,+,ribose 5-phosphate isomerase B,Carbohydrate transport and metabolism,[],Q5NN86,map00030;map00051;map00710;map01100;map01110;map01120;map01130;map01200;map01230,5.3.1.6,-2.48089134788444,-3.2384398769618,SignalP-TM;SignalP-noTM,,,,,0.0,1.28319638596134e-13,0.0,1.4937485915288873e-13,"['CosR_Campylobacter_jejuni', 'MogR_Listeria_monocytogenes', 'NikR_Helicobacter_pylori']",1.0,1.0499122798168405,0.9636551914380722,0.8512687713876277,1.0,1.1478979445777258,0.9476528963728174,1.0207947781040594
