From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Annotation
zmo:ZMO0900	Q5NP36	reviewed	SYE1_ZYMMO	Glutamate--tRNA ligase 1 (EC 6.1.1.17) (Glutamyl-tRNA synthetase 1) (GluRS 1)	gltX1 ZMO0900	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	444	3.0
zmo:ZMO0901	Q5NP35	unreviewed	Q5NP35_ZYMMO	Phage protein	ZMO0901	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	67	1.0
zmo:ZMO0902	Q5NP34	unreviewed	Q5NP34_ZYMMO	TonB-dependent receptor	ZMO0902	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	750	1.0
zmo:ZMO0903	Q5NP33	unreviewed	Q5NP33_ZYMMO	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA ZMO0903	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	566	3.0
zmo:ZMO0904	Q5NP32	unreviewed	Q5NP32_ZYMMO	beta-galactosidase (EC 3.2.1.23)	ZMO0904	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	1033	2.0
zmo:ZMO0905	Q5NP31	unreviewed	Q5NP31_ZYMMO	Periplasmic glucan biosynthesis protein MdoG	ZMO0905	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	523	2.0
zmo:ZMO0907	Q5NP29	unreviewed	Q5NP29_ZYMMO	Glucans biosynthesis glucosyltransferase H	ZMO0907	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	652	2.0
zmo:ZMO0908	Q5NP28	unreviewed	Q5NP28_ZYMMO	Lipopolysaccharide biosynthesis protein	ZMO0908	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	388	1.0
zmo:ZMO0909	Q5NP27	unreviewed	Q5NP27_ZYMMO	Glycosyl transferase group 1	ZMO0909	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	412	1.0
zmo:ZMO0910	Q5NP26	unreviewed	Q5NP26_ZYMMO	ABC transporter related protein	ZMO0910	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	219	1.0
zmo:ZMO0911	Q5NP25	unreviewed	Q5NP25_ZYMMO	Polysaccharide export protein	ZMO0911	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	421	1.0
zmo:ZMO0912	Q5NP24	unreviewed	Q5NP24_ZYMMO	DUF885 domain-containing protein	ZMO0912	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	624	1.0
zmo:ZMO0913	Q5NP23	unreviewed	Q5NP23_ZYMMO	Branched-chain-amino-acid aminotransferase (EC 2.6.1.42)	ZMO0913	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	366	3.0
zmo:ZMO0914	Q5NP22	reviewed	FOLD_ZYMMO	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD ZMO0914	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	297	3.0
zmo:ZMO0915	Q5NP21	unreviewed	Q5NP21_ZYMMO	Copper-translocating P-type ATPase	ZMO0915	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	740	2.0
zmo:ZMO0916	Q5NP20	unreviewed	Q5NP20_ZYMMO	Heavy metal transport/detoxification protein	ZMO0916	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	69	1.0
zmo:ZMO0917	Q5NP19	unreviewed	Q5NP19_ZYMMO	2-nitropropane dioxygenase, NPD	ZMO0917	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	468	1.0
zmo:ZMO0918	Q5NP18	unreviewed	Q5NP18_ZYMMO	Catalase (EC 1.11.1.6)	ZMO0918	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	481	3.0
zmo:ZMO0919	Q5NP17	unreviewed	Q5NP17_ZYMMO	diguanylate cyclase (EC 2.7.7.65)	ZMO0919	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	1008	1.0
zmo:ZMO0920	Q5NP16	unreviewed	Q5NP16_ZYMMO	C-type lysozyme inhibitor domain-containing protein	ZMO0920	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	129	1.0
zmo:ZMO0921	Q5NP15	unreviewed	Q5NP15_ZYMMO	Uncharacterized protein	ZMO0921	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	375	1.0
zmo:ZMO0922	Q5NP14	unreviewed	Q5NP14_ZYMMO	Helix-turn-helix domain-containing protein	ZMO0922	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	148	1.0
zmo:ZMO0923	Q5NP13	reviewed	ARGJ_ZYMMO	Arginine biosynthesis bifunctional protein ArgJ [Cleaved into: Arginine biosynthesis bifunctional protein ArgJ alpha chain; Arginine biosynthesis bifunctional protein ArgJ beta chain] [Includes: Glutamate N-acetyltransferase (EC 2.3.1.35) (Ornithine acetyltransferase) (OATase) (Ornithine transacetylase); Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGSase)]	argJ ZMO0923	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	409	3.0
zmo:ZMO0924	Q5NP12	reviewed	SECA_ZYMMO	Protein translocase subunit SecA (EC 7.4.2.8)	secA ZMO0924	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	925	3.0
zmo:ZMO0925	Q5NP11	unreviewed	Q5NP11_ZYMMO	Cold-shock DNA-binding domain protein	ZMO0925	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	189	1.0
zmo:ZMO0926	Q5NP10	unreviewed	Q5NP10_ZYMMO	Mammalian cell entry related domain protein	ZMO0926	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	169	1.0
zmo:ZMO2007	D2N0W3	unreviewed	D2N0W3_ZYMMO	DUF2155 domain-containing protein	ZMO2007	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	214	1.0
zmo:ZMO0927	Q5NP09	reviewed	LFTR_ZYMMO	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	aat ZMO0927	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	268	3.0
zmo:ZMO0928	Q5NP08	unreviewed	Q5NP08_ZYMMO	Peptidase S58 DmpA	ZMO0928	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	336	1.0
zmo:ZMO0932	Q5NP04	unreviewed	Q5NP04_ZYMMO	Secretion activator protein	ZMO0932	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	184	1.0
zmo:ZMO0935	Q5NP01	unreviewed	Q5NP01_ZYMMO	Glutathione S-transferase domain protein	ZMO0935	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	210	1.0
zmo:ZMO0936	Q5NP00	unreviewed	Q5NP00_ZYMMO	EamA domain-containing protein	ZMO0936	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	296	1.0
zmo:ZMO0937	Q5NNZ9	unreviewed	Q5NNZ9_ZYMMO	Aromatic-amino-acid transaminase (EC 2.6.1.57)	ZMO0937	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	407	2.0
zmo:ZMO0938	Q5NNZ8	reviewed	ALPH_ZYMMO	Alkaline phosphatase PhoD (ALPI) (EC 3.1.3.1) (Type I phosphodiesterase/nucleotide pyrophosphatase)	phoD ZMO0938	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	576	3.0
zmo:ZMO0939	Q5NNZ7	unreviewed	Q5NNZ7_ZYMMO	Guanine deaminase (Guanase) (EC 3.5.4.3) (Guanine aminohydrolase)	ZMO0939	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	433	2.0
zmo:ZMO0940	Q5NNZ6	unreviewed	Q5NNZ6_ZYMMO	Transcriptional regulator, MarR family	ZMO0940	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	166	1.0
zmo:ZMO0941	Q5NNZ5	unreviewed	Q5NNZ5_ZYMMO	NAD-dependent epimerase/dehydratase	ZMO0941	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	333	1.0
zmo:ZMO0942	P0DJA7	reviewed	SCR_ZYMMO	Sucrose-6-phosphate hydrolase (Sucrase) (EC 3.2.1.26) (Invertase)	sacA invA ZMO0942	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	512	3.0
zmo:ZMO0945	Q5NNZ1	unreviewed	Q5NNZ1_ZYMMO	Aldose 1-epimerase	ZMO0945	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	295	1.0
zmo:ZMO0946	Q5NNZ0	reviewed	TIG_ZYMMO	Trigger factor (TF) (EC 5.2.1.8) (PPIase)	tig ZMO0946	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	492	3.0
zmo:ZMO0947	Q5NNY9	unreviewed	Q5NNY9_ZYMMO	Glycosyl transferase family 2	ZMO0947	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	321	1.0
zmo:ZMO0948	Q5NNY8	reviewed	CLPP_ZYMMO	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP ZMO0948	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	210	3.0
zmo:ZMO0949	Q5NNY7	reviewed	CLPX_ZYMMO	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX ZMO0949	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	422	3.0
zmo:ZMO0950	Q5NNY6	unreviewed	Q5NNY6_ZYMMO	GCN5-related N-acetyltransferase	ZMO0950	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	203	1.0
zmo:ZMO0951	Q5NNY5	unreviewed	Q5NNY5_ZYMMO	coproporphyrinogen oxidase (EC 1.3.3.3)	ZMO0951	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	285	2.0
zmo:ZMO0952	Q5NNY4	unreviewed	Q5NNY4_ZYMMO	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	trmL ZMO0952	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	152	3.0
zmo:ZMO0956	Q5NNY0	unreviewed	Q5NNY0_ZYMMO	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8)	ZMO0956	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	198	2.0
zmo:ZMO0957	Q5NNX9	unreviewed	Q5NNX9_ZYMMO	Cytochrome b	ZMO0957	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	418	2.0
zmo:ZMO0958	Q5NNX8	unreviewed	Q5NNX8_ZYMMO	Cytochrome c1	ZMO0958	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	279	2.0
zmo:ZMO0959	Q5NNX7	unreviewed	Q5NNX7_ZYMMO	Biosynthetic peptidoglycan transglycosylase (EC 2.4.99.28) (Glycan polymerase) (Peptidoglycan glycosyltransferase MtgA) (PGT)	mtgA ZMO0959	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	248	3.0
zmo:ZMO0961	Q5NNX5	unreviewed	Q5NNX5_ZYMMO	Cytochrome c class I	ZMO0961	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	164	1.0
zmo:ZMO0962	Q5NNX4	unreviewed	Q5NNX4_ZYMMO	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	ZMO0962	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	381	2.0
zmo:ZMO0963	Q5NNX3	unreviewed	Q5NNX3_ZYMMO	Transcriptional regulator, TetR family	ZMO0963	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	209	1.0
zmo:ZMO0964	Q5NNX2	unreviewed	Q5NNX2_ZYMMO	RND efflux system, outer membrane lipoprotein, NodT family	ZMO0964	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	477	1.0
zmo:ZMO0965	Q5NNX1	unreviewed	Q5NNX1_ZYMMO	Efflux pump membrane protein	ZMO0965	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	401	1.0
zmo:ZMO0966	Q5NNX0	unreviewed	Q5NNX0_ZYMMO	Drug resistance transporter, EmrB/QacA subfamily	ZMO0966	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	533	1.0
zmo:ZMO0967	Q5NNW9	unreviewed	Q5NNW9_ZYMMO	Na+ dependent nucleoside transporter domain protein	ZMO0967	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	398	1.0
zmo:ZMO0969	Q5NNW7	unreviewed	Q5NNW7_ZYMMO	Xanthine/uracil/vitamin C permease	ZMO0969	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	441	1.0
zmo:ZMO0970	Q5NNW6	unreviewed	Q5NNW6_ZYMMO	Purine nucleoside permease	ZMO0970	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	373	1.0
zmo:ZMO0971	Q5NNW5	reviewed	ADE_ZYMMO	Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH)	ZMO0971	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	337	3.0
zmo:ZMO0972	Q5NNW4	unreviewed	Q5NNW4_ZYMMO	Hopanoid biosynthesis associated glycosyl transferase protein HpnI	ZMO0972	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	384	1.0
zmo:ZMO0973	Q5NNW3	unreviewed	Q5NNW3_ZYMMO	Hopanoid biosynthesis associated radical SAM protein HpnJ	ZMO0973	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	476	1.0
zmo:ZMO0974	Q5NNW2	unreviewed	Q5NNW2_ZYMMO	Hopanoid biosynthesis associated protein HpnK	ZMO0974	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	281	1.0
zmo:ZMO0975	Q5NNW1	unreviewed	Q5NNW1_ZYMMO	Conserved hypothetical membrane spanning protein	ZMO0975	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	329	1.0
zmo:ZMO0976	Q5NNW0	unreviewed	Q5NNW0_ZYMMO	Aldo/keto reductase	ZMO0976	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	340	1.0
zmo:ZMO0978	Q5NNV8	unreviewed	Q5NNV8_ZYMMO	Periplasmic binding protein	ZMO0978	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	301	1.0
zmo:ZMO0979	Q5NNV7	unreviewed	Q5NNV7_ZYMMO	TonB-dependent receptor	ZMO0979	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	703	2.0
zmo:ZMO0980	Q5NNV6	unreviewed	Q5NNV6_ZYMMO	Beta sliding clamp	ZMO0980	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	369	2.0
zmo:ZMO0981	Q5NNV5	unreviewed	Q5NNV5_ZYMMO	ABC transporter related protein	ZMO0981	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	530	1.0
zmo:ZMO0982	Q5NNV4	unreviewed	Q5NNV4_ZYMMO	Binding-protein-dependent transport systems inner membrane component	ZMO0982	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	272	1.0
zmo:ZMO0984	Q5NNV2	unreviewed	Q5NNV2_ZYMMO	Peptidase M23	ZMO0984	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	291	1.0
zmo:ZMO0985	Q5NNV1	reviewed	SURE_ZYMMO	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE ZMO0985	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	255	3.0
zmo:ZMO0986	Q5NNV0	reviewed	SYS_ZYMMO	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS ZMO0986	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	425	3.0
zmo:ZMO0987	Q5NNU9	unreviewed	Q5NNU9_ZYMMO	RNA polymerase-binding transcription factor DksA	dksA ZMO0987	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	161	2.0
zmo:ZMO2009	D2N0W5	unreviewed	D2N0W5_ZYMMO	DUF465 domain-containing protein	ZMO2009	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	52	1.0
zmo:ZMO0988	Q5NNU8	unreviewed	Q5NNU8_ZYMMO	DUF465 domain-containing protein	ZMO0988	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	65	1.0
zmo:ZMO0989	Q5NNU7	unreviewed	Q5NNU7_ZYMMO	Heat shock protein Hsp20	ZMO0989	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	162	1.0
zmo:ZMO0992	Q5NNU4	unreviewed	Q5NNU4_ZYMMO	Peptidase S10 serine carboxypeptidase	ZMO0992	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	531	1.0
zmo:ZMO0994	Q5NNU2	unreviewed	Q5NNU2_ZYMMO	Late embryogenesis abundant protein	ZMO0994	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	172	1.0
zmo:ZMO0996	Q5NNU0	unreviewed	Q5NNU0_ZYMMO	MscS Mechanosensitive ion channel	ZMO0996	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	380	1.0
zmo:ZMO0997	Q00384	reviewed	ALKD_ZYMMO	2-dehydro-3-deoxy-phosphogluconate aldolase (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG aldolase)	eda kdgA ZMO0997	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	208	3.0
zmo:ZMO0998	Q5NNT8	unreviewed	Q5NNT8_ZYMMO	Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)	msrA ZMO0998	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	180	2.0
zmo:ZMO0999	Q5NNT7	unreviewed	Q5NNT7_ZYMMO	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)	ZMO0999	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	329	2.0
zmo:ZMO1000	Q5NNT6	unreviewed	Q5NNT6_ZYMMO	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE ZMO1000	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	759	3.0
zmo:ZMO1001	Q5NNT5	unreviewed	Q5NNT5_ZYMMO	Amino acid/peptide transporter (EC 3.1.3.1)	ZMO1001	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	497	1.0
zmo:ZMO1002	Q5NNT4	reviewed	GLMM_ZYMMO	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM ZMO1002	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	445	3.0
zmo:ZMO1003	Q5NNT3	unreviewed	Q5NNT3_ZYMMO	hydroxymethylpyrimidine kinase (EC 2.7.1.49)	ZMO1003	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	283	2.0
zmo:ZMO1004	Q5NNT2	reviewed	RNH2_ZYMMO	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB ZMO1004	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	215	3.0
zmo:ZMO1005	Q5NNT1	unreviewed	Q5NNT1_ZYMMO	Methyltransferase (EC 2.1.1.-)	ZMO1005	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	382	2.0
zmo:ZMO1006	Q5NNT0	unreviewed	Q5NNT0_ZYMMO	dihydropteroate synthase (EC 2.5.1.15)	ZMO1006	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	368	2.0
zmo:ZMO1007	Q5NNS9	unreviewed	Q5NNS9_ZYMMO	Uncharacterized protein	ZMO1007	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	287	1.0
zmo:ZMO1008	Q5NNS8	unreviewed	Q5NNS8_ZYMMO	FAD linked oxidase domain protein	ZMO1008	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	481	1.0
zmo:ZMO1009	Q5NNS7	unreviewed	Q5NNS7_ZYMMO	SapC family protein	ZMO1009	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	262	1.0
zmo:ZMO1010	Q5NNS6	unreviewed	Q5NNS6_ZYMMO	Cytoplasmic protein	ZMO1010	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	173	1.0
zmo:ZMO1011	Q5NNS5	reviewed	YACG_ZYMMO	DNA gyrase inhibitor YacG	yacG ZMO1011	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	61	2.0
zmo:ZMO1012	Q5NNS4	unreviewed	Q5NNS4_ZYMMO	Uncharacterized protein	ZMO1012	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	337	1.0
zmo:ZMO1013	Q5NNS3	reviewed	NTPPA_ZYMMO	dTTP/UTP pyrophosphatase (dTTPase/UTPase) (EC 3.6.1.9) (Nucleoside triphosphate pyrophosphatase) (Nucleotide pyrophosphatase) (Nucleotide PPase)	ZMO1013	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	202	3.0
zmo:ZMO1015	Q5NNS1	unreviewed	Q5NNS1_ZYMMO	ABC-type transport auxiliary lipoprotein component domain-containing protein	ZMO1015	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	208	1.0
zmo:ZMO1016	Q5NNS0	unreviewed	Q5NNS0_ZYMMO	Mammalian cell entry related domain protein	ZMO1016	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	315	1.0
zmo:ZMO1017	Q5NNR9	unreviewed	Q5NNR9_ZYMMO	ABC transporter related protein	ZMO1017	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	263	1.0
zmo:ZMO1018	Q5NNR8	unreviewed	Q5NNR8_ZYMMO	Phospholipid/cholesterol/gamma-HCH transport system permease protein	ZMO1018	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	366	2.0
zmo:ZMO1019	Q5NNR7	unreviewed	Q5NNR7_ZYMMO	Deoxyhypusine synthase-like protein (EC 2.5.-.-)	ZMO1019	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	350	1.0
zmo:ZMO1020	Q5NNR6	unreviewed	Q5NNR6_ZYMMO	ornithine decarboxylase (EC 4.1.1.17)	ZMO1020	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	393	2.0
zmo:ZMO1021	Q5NNR5	unreviewed	Q5NNR5_ZYMMO	Alpha/beta fold family hydrolase-like protein	ZMO1021	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	217	1.0
zmo:ZMO1022	Q5NNR4	unreviewed	Q5NNR4_ZYMMO	Cysteine desulfurase	ZMO1022	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	348	2.0
zmo:ZMO1023	Q5NNR3	reviewed	QUEC_ZYMMO	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC ZMO1023	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	254	3.0
zmo:ZMO1025	Q5NNR1	unreviewed	Q5NNR1_ZYMMO	Anaerobic ribonucleoside-triphosphate reductase	ZMO1025	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	672	1.0
zmo:ZMO1026	Q5NNR0	unreviewed	Q5NNR0_ZYMMO	Uncharacterized protein	ZMO1026	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	62	1.0
zmo:ZMO1027	Q5NNQ9	unreviewed	Q5NNQ9_ZYMMO	Anaerobic ribonucleoside-triphosphate reductase activating protein	ZMO1027	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	200	1.0
zmo:ZMO1029	Q5NNQ7	unreviewed	Q5NNQ7_ZYMMO	ABC transporter related protein	ZMO1029	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	305	1.0
zmo:ZMO1030	Q5NNQ6	unreviewed	Q5NNQ6_ZYMMO	ABC-2 type transport system permease protein	ZMO1030	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	254	1.0
zmo:ZMO1032	Q5NNQ4	reviewed	RLMN_ZYMMO	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN ZMO1032	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	391	4.0
zmo:ZMO1033	Q5NNQ3	unreviewed	Q5NNQ3_ZYMMO	Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)	ZMO1033	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	415	1.0
zmo:ZMO1034	Q5NNQ2	unreviewed	Q5NNQ2_ZYMMO	Calcium-binding EF-hand-containing protein	ZMO1034	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	204	1.0
